age,unit,sex,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
Y15-74,PC_ACT,T,AT	4.1 	5.3 	4.8 	4.6 	4.9 	5.4 	5.6 	5.7 	6.0 	5.5 	4.9 	4.5 
Y15-74,PC_ACT,T,BE	7.0 	7.9 	8.3 	7.2 	7.6 	8.4 	8.5 	8.5 	7.8 	7.1 b	6.0 	5.4 
Y15-74,PC_ACT,T,BG	5.6 	6.8 	10.3 b	11.3 b	12.3 	13.0 	11.4 	9.2 	7.6 	6.2 	5.2 	4.2 
Y15-74,PC_ACT,T,CH	: 	: 	4.8 b	4.4 	4.5 	4.8 	4.9 	4.8 	5.0 	4.8 	4.7 	4.4 
Y15-74,PC_ACT,T,CY	3.7 	5.4 b	6.3 	7.9 	11.9 	15.9 	16.1 	15.0 	13.0 	11.1 	8.4 	7.1 
Y15-74,PC_ACT,T,CZ	4.4 	6.7 	7.3 	6.7 b	7.0 	7.0 	6.1 	5.1 	4.0 	2.9 	2.2 	2.0 
Y15-74,PC_ACT,T,DE	7.5 	7.8 	7.0 b	5.8 b	5.4 	5.2 	5.0 	4.6 	4.1 	3.8 	3.4 	3.2 
Y15-74,PC_ACT,T,DK	3.7 b	6.4 	7.7 	7.8 	7.8 	7.4 	6.9 	6.3 	6.0 b	5.8 b	5.1 	5.0 
Y15-74,PC_ACT,T,EA19	7.5 	9.6 	10.1 	10.2 	11.3 	12.0 	11.6 	10.8 	10.0 	9.0 	8.1 	7.5 
Y15-74,PC_ACT,T,EE	5.5 	13.5 	16.7 	12.3 	10.0 	8.6 	7.4 	6.2 	6.8 	5.8 	5.4 	4.4 
Y15-74,PC_ACT,T,EL	7.8 	9.6 b	12.7 	17.9 	24.5 	27.5 	26.5 	24.9 	23.6 	21.5 	19.3 	17.3 
Y15-74,PC_ACT,T,ES	11.3 	17.9 	19.9 	21.4 	24.8 	26.1 	24.5 	22.1 	19.6 	17.2 	15.3 	14.1 
Y15-74,PC_ACT,T,EU27_2020	7.2 	9.1 	9.8 	9.9 	10.8 	11.4 	10.8 	10.0 	9.1 	8.1 	7.2 	6.7 
Y15-74,PC_ACT,T,EU28	7.0 	8.9 	9.6 	9.6 	10.5 	10.8 	10.2 	9.4 	8.5 	7.6 	6.8 	6.3 
Y15-74,PC_ACT,T,FI	6.4 	8.2 	8.4 	7.8 	7.7 	8.2 	8.7 	9.4 	8.8 	8.6 	7.4 	6.7 
Y15-74,PC_ACT,T,FR	7.4 e	9.1 e	9.3 e	9.2 e	9.8 e	10.3 e	10.3 	10.4 	10.0 	9.4 	9.0 	8.5 
Y15-74,PC_ACT,T,FX	7.1 	8.7 	8.9 	8.8 	9.4 	9.9 	9.9 	10.1 	9.8 	9.1 	8.7 	8.2 
Y15-74,PC_ACT,T,HR	8.6 	9.2 	11.7 	13.7 	16.0 	17.3 	17.3 	16.2 	13.1 	11.2 	8.5 	6.6 
Y15-74,PC_ACT,T,HU	7.8 	10.0 	11.2 	11.0 	11.0 	10.2 	7.7 	6.8 	5.1 	4.2 	3.7 	3.4 
Y15-74,PC_ACT,T,IE	6.8 	12.6 	14.6 	15.4 	15.5 	13.8 	11.9 	10.0 	8.4 	6.7 	5.8 	5.0 
Y15-74,PC_ACT,T,IS	2.9 	7.2 	7.6 	7.0 	6.0 	5.4 	4.9 	4.0 	3.0 	2.7 	2.7 	3.5 
Y15-74,PC_ACT,T,IT	6.7 	7.8 	8.4 	8.4 	10.7 	12.2 	12.7 	11.9 	11.7 	11.2 	10.6 	10.0 
Y15-74,PC_ACT,T,LT	5.8 	13.8 	17.8 	15.4 	13.4 	11.8 	10.7 	9.1 	7.9 	7.1 	6.2 	6.3 
Y15-74,PC_ACT,T,LU	5.1 	5.1 b	4.4 	4.9 	5.1 	5.9 	5.9 	6.7 b	6.3 	5.5 	5.6 	5.6 
Y15-74,PC_ACT,T,LV	7.7 	17.5 	19.5 	16.2 	15.0 	11.9 	10.8 	9.9 	9.6 	8.7 	7.4 	6.3 
Y15-74,PC_ACT,T,ME	: 	: 	: 	19.7 	20.0 	19.5 	18.0 	17.6 	17.8 	16.1 	15.2 	15.2 
Y15-74,PC_ACT,T,MK	33.8 	32.2 	32.0 	31.4 	31.0 	29.0 	28.0 	26.1 	23.7 	22.4 	20.8 	17.3 
Y15-74,PC_ACT,T,MT	6.0 	6.9 	6.9 	6.4 	6.2 	6.1 	5.7 	5.4 	4.7 	4.0 	3.7 	3.4 
Y15-74,PC_ACT,T,NL	3.7 	4.4 	5.0 	5.0 	5.8 	7.3 	7.4 	6.9 	6.0 	4.9 	3.8 	3.4 
Y15-74,PC_ACT,T,NO	2.5 	3.1 	3.5 	3.2 	3.1 	3.4 	3.5 	4.3 	4.7 	4.2 	3.8 	3.7 
Y15-74,PC_ACT,T,PL	7.1 	8.2 	9.7 b	9.7 	10.1 	10.3 	9.0 	7.5 	6.2 	4.9 	3.9 	3.3 
Y15-74,PC_ACT,T,PT	7.7 	9.6 	11.0 	12.9 b	15.8 	16.4 	14.1 	12.6 	11.2 	9.0 	7.1 	6.5 
Y15-74,PC_ACT,T,RO	5.8 	6.9 	7.0 b	7.2 	6.8 	7.1 	6.8 	6.8 	5.9 	4.9 	4.2 	3.9 
Y15-74,PC_ACT,T,RS	: 	: 	: 	: 	: 	: 	19.4 	17.8 	15.4 	13.6 	12.8 	10.5 
Y15-74,PC_ACT,T,SE	6.2 	8.4 	8.6 	7.8 	8.0 	8.1 	8.0 	7.4 	7.0 	6.7 	6.4 b	6.8 
Y15-74,PC_ACT,T,SI	4.4 	5.9 	7.3 	8.2 	8.9 	10.1 	9.7 	9.0 	8.0 	6.6 	5.1 	4.5 
Y15-74,PC_ACT,T,SK	9.5 	12.0 	14.4 	13.6 b	14.0 	14.2 	13.2 	11.5 	9.7 	8.1 	6.5 	5.8 
Y15-74,PC_ACT,T,TR	9.8 	12.6 	10.7 	8.8 	8.2 	8.8 	9.9 b	10.3 	10.9 	10.9 	10.9 	13.7 
Y15-74,PC_ACT,T,UK	5.6 b	7.6 	7.8 	8.1 	7.9 	7.5 	6.1 	5.3 	4.8 	4.3 	4.0 	3.8 
Y15-74,PC_POP,T,AT	2.7 	3.5 	3.2 	3.0 	3.2 	3.6 	3.8 	3.8 	4.1 	3.7 	3.3 	3.1 
Y15-74,PC_POP,T,BE	4.2 	4.7 	5.0 	4.2 	4.5 	5.1 	5.1 	5.1 	4.7 	4.2 b	3.6 	3.2 
Y15-74,PC_POP,T,BG	3.3 	4.0 	6.0 b	6.5 b	7.2 	7.7 	6.9 	5.5 	4.5 	3.8 	3.2 	2.7 
Y15-74,PC_POP,T,CH	: 	: 	3.6 b	3.3 	3.3 	3.5 	3.6 	3.6 	3.7 	3.7 	3.6 	3.4 
Y15-74,PC_POP,T,CY	2.5 	3.6 b	4.3 	5.3 	8.0 	10.7 	11.0 	10.0 	8.6 	7.4 	5.7 	4.9 
Y15-74,PC_POP,T,CZ	2.8 	4.2 	4.6 	4.2 b	4.4 	4.5 	3.9 	3.3 	2.6 	1.9 	1.5 	1.3 
Y15-74,PC_POP,T,DE	4.9 	5.1 	4.6 b	3.9 b	3.6 	3.6 	3.4 	3.2 	2.9 	2.6 	2.4 	2.2 
Y15-74,PC_POP,T,DK	2.6 b	4.5 	5.4 	5.4 	5.3 	5.0 	4.7 	4.2 	4.1 b	4.0 b	3.5 	3.5 
Y15-74,PC_POP,T,EA19	4.7 	6.0 	6.4 	6.4 	7.2 	7.6 	7.4 	6.9 	6.4 	5.8 	5.2 	4.9 
Y15-74,PC_POP,T,EE	3.7 	9.0 	11.1 	8.3 	6.8 	5.9 	5.0 	4.3 	4.8 	4.1 	3.9 	3.2 
Y15-74,PC_POP,T,EL	4.6 	5.7 b	7.6 	10.6 	14.5 	16.3 	15.7 	14.8 	14.1 	12.8 	11.5 	10.3 
Y15-74,PC_POP,T,ES	7.4 	11.7 	13.1 	14.2 	16.5 	17.3 	16.0 	14.5 	12.8 	11.2 	9.9 	9.1 
Y15-74,PC_POP,T,EU27_2020	4.5 	5.7 	6.2 	6.2 	6.8 	7.2 	6.9 	6.4 	5.8 	5.2 	4.6 	4.3 
Y15-74,PC_POP,T,EU28	4.4 	5.6 	6.1 	6.1 	6.7 	6.9 	6.5 	6.0 	5.5 	4.9 	4.4 	4.1 
Y15-74,PC_POP,T,FI	4.3 	5.5 	5.6 	5.2 	5.1 	5.4 	5.7 	6.2 	5.8 	5.7 	4.9 	4.5 
Y15-74,PC_POP,T,FR	4.6 e	5.7 e	5.8 e	5.8 e	6.1 e	6.5 e	6.4 	6.5 	6.3 	5.8 	5.6 	5.2 
Y15-74,PC_POP,T,FX	4.4 	5.5 	5.6 	5.5 	5.9 	6.3 	6.2 	6.3 	6.1 	5.7 	5.4 	5.1 
Y15-74,PC_POP,T,HR	5.0 	5.4 	6.7 	7.8 	9.1 	9.8 	10.1 	9.5 	7.5 	6.5 	4.9 	3.8 
Y15-74,PC_POP,T,HU	4.2 	5.4 	6.1 	6.1 	6.2 	5.8 	4.5 	4.1 	3.1 	2.6 	2.3 	2.2 
Y15-74,PC_POP,T,IE	4.8 	8.6 	9.7 	10.2 	10.2 	9.1 	7.9 	6.6 	5.6 	4.5 	3.9 	3.3 
Y15-74,PC_POP,T,IS	2.4 	5.8 	6.1 	5.6 	4.8 	4.3 	4.0 	3.3 	2.5 	2.3 	2.2 	2.8 
Y15-74,PC_POP,T,IT	3.7 	4.2 	4.6 	4.6 	5.9 	6.7 	7.1 	6.7 	6.6 	6.4 	6.1 	5.7 
Y15-74,PC_POP,T,LT	3.6 	8.6 	11.1 	9.8 	8.6 	7.6 	7.1 	6.1 	5.3 	4.8 	4.3 	4.4 
Y15-74,PC_POP,T,LU	3.0 	3.1 b	2.7 	3.0 	3.2 	3.7 	3.7 	4.3 b	4.0 	3.5 	3.6 	3.7 
Y15-74,PC_POP,T,LV	5.2 	11.5 	12.6 	10.4 	9.9 	7.8 	7.2 	6.7 	6.6 	6.0 	5.2 	4.4 
Y15-74,PC_POP,T,ME	: 	: 	: 	10.2 	10.7 	10.4 	10.1 	10.1 	10.3 	9.4 	9.1 	9.3 
Y15-74,PC_POP,T,MK	19.6 	18.8 	18.8 	18.4 	18.1 	17.1 	16.6 	15.3 	13.8 	13.1 	12.2 	10.2 
Y15-74,PC_POP,T,MT	3.2 	3.7 	3.7 	3.5 	3.5 	3.6 	3.4 	3.2 	2.9 	2.5 	2.4 	2.3 
Y15-74,PC_POP,T,NL	2.6 	3.1 	3.5 	3.5 	4.1 	5.1 	5.2 	4.8 	4.2 	3.4 	2.7 	2.4 
Y15-74,PC_POP,T,NO	1.9 	2.3 	2.5 	2.3 	2.2 	2.4 	2.5 	3.1 	3.3 	2.9 	2.7 	2.6 
Y15-74,PC_POP,T,PL	4.2 	4.8 	5.8 b	5.8 	6.1 	6.3 	5.5 	4.6 	3.8 	3.0 	2.4 	2.0 
Y15-74,PC_POP,T,PT	5.2 	6.4 	7.4 	8.6 b	10.5 	10.8 	9.2 	8.3 	7.3 	5.9 	4.7 	4.4 
Y15-74,PC_POP,T,RO	3.4 	4.0 	4.2 b	4.2 	4.1 	4.2 	4.1 	4.1 	3.5 	3.0 	2.5 	2.4 
Y15-74,PC_POP,T,RS	: 	: 	: 	: 	: 	: 	11.0 	10.1 	9.0 	8.1 	7.7 	6.3 
Y15-74,PC_POP,T,SE	4.4 	5.9 	6.1 	5.5 	5.7 	5.8 	5.7 	5.4 	5.0 	4.9 	4.6 b	5.0 
Y15-74,PC_POP,T,SI	2.8 	3.8 	4.7 	5.2 	5.6 	6.4 	6.2 	5.7 	5.0 	4.3 	3.4 	2.9 
Y15-74,PC_POP,T,SK	6.0 	7.5 	9.0 	8.5 b	8.8 	9.0 	8.4 	7.3 	6.2 	5.2 	4.2 	3.7 
Y15-74,PC_POP,T,TR	4.7 	6.1 	5.3 	4.5 	4.2 	4.6 	5.2 b	5.5 	5.9 	6.0 	6.1 	7.6 
Y15-74,PC_POP,T,UK	3.9 b	5.2 	5.3 	5.5 	5.4 	5.2 	4.2 	3.7 	3.3 	3.0 	2.8 	2.6 
Y15-74,THS_PER,T,AT	172 	223 	203 	194 	209 	231 	245 	252 	270 	248 	220 	205 
Y15-74,THS_PER,T,BE	333 	380 	406 	347 	369 	417 	423 	422 	390 	354 b	301 	274 
Y15-74,THS_PER,T,BG	200 	238 	352 b	376 b	410 	436 	385 	305 	247 	207 	173 	143 
Y15-74,THS_PER,T,CH	: 	: 	212 b	198 	204 	219 	227 	229 	238 	234 	231 	216 
Y15-74,THS_PER,T,CY	15 	22 b	26 	34 	52 	69 	70 	63 	54 	47 	37 	32 
Y15-74,THS_PER,T,CZ	230 	352 	384 	351 b	367 	369 	324 	268 	211 	155 	121 	109 
Y15-74,THS_PER,T,DE	3136 	3228 	2845 b	2399 b	2224 	2182 	2090 	1950 	1774 	1621 	1468 	1374 
Y15-74,THS_PER,T,DK	107 b	186 	223 	224 	224 	210 	198 	181 	176 b	173 b	153 	152 
Y15-74,THS_PER,T,EA19	11879 	15170 	15976 	16042 	18043 	19085 	18479 	17306 	16096 	14585 	13211 	12268 
Y15-74,THS_PER,T,EE	38 	93 	114 	85 	68 	59 	50 	42 	47 	40 	38 	31 
Y15-74,THS_PER,T,EL	388 	485 b	639 	882 	1195 	1330 	1274 	1197 	1131 	1027 	915 	819 
Y15-74,THS_PER,T,ES	2596 	4154 	4640 	5013 	5811 	6051 	5610 	5056 	4481 	3917 	3479 	3248 
Y15-74,THS_PER,T,EU27_2020	14999 	19044 	20355 	20426 	22593 	23717 	22664 	20991 	19167 	17172 	15369 	14238 
Y15-74,THS_PER,T,EU28	16755 	21412 	22814 	22986 	25127 	26154 	24660 	22737 	20766 	18619 	16716 	15507 
Y15-74,THS_PER,T,FI	172 	221 	224 	209 	207 	219 	232 	252 	237 	234 	202 	184 
Y15-74,THS_PER,T,FR	2120 e	2624 e	2679 e	2666 e	2855 e	3025 e	3026 	3054 	2968 	2786 	2682 	2506 
Y15-74,THS_PER,T,FX	1970 	2458 	2505 	2489 	2677 	2840 	2846 	2887 	2809 	2627 	2522 	2363 
Y15-74,THS_PER,T,HR	165 	178 	222 	257 	297 	318 	327 	306 	240 	205 	152 	119 
Y15-74,THS_PER,T,HU	326 	418 	469 	466 	473 	441 	343 	308 	235 	192 	172 	160 
Y15-74,THS_PER,T,IE	160 	291 	327 	343 	344 	309 	268 	226 	195 	158 	137 	121 
Y15-74,THS_PER,T,IS	5 	13 	14 	13 	11 	10 	9 	8 	6 	5 	6 	7 
Y15-74,THS_PER,T,IT	1664 	1907 	2056 	2061 	2691 	3069 	3236 	3033 	3012 	2907 	2755 	2582 
Y15-74,THS_PER,T,LT	88 	211 	270 	228 	197 	172 	158 	134 	116 	103 	90 	92 
Y15-74,THS_PER,T,LU	11 	12 b	10 	12 	13 	15 	15 	18 b	17 	16 	17 	17 
Y15-74,THS_PER,T,LV	88 	193 	206 	167 	155 	120 	108 	98 	95 	85 	73 	61 
Y15-74,THS_PER,T,ME	: 	: 	: 	48 	50 	49 	47 	47 	48 	44 	42 	43 
Y15-74,THS_PER,T,MK	310 	299 	300 	295 	292 	277 	269 	249 	225 	214 	199 	166 
Y15-74,THS_PER,T,MT	10 	12 	12 	11 	11 	12 	12 	11 	10 	9 	9 	9 
Y15-74,THS_PER,T,NL	318 	381 	435 	434 	516 	647 	660 	614 	538 	438 	350 	314 
Y15-74,THS_PER,T,NO	66 	80 	91 	84 	83 	92 	95 	119 	129 	115 	106 	104 
Y15-74,THS_PER,T,PL	1211 	1411 	1650 b	1659 	1749 	1793 	1567 	1304 	1063 	844 	659 	558 
Y15-74,THS_PER,T,PT	418 	517 	591 	688 b	836 	855 	726 	647 	573 	463 	366 	339 
Y15-74,THS_PER,T,RO	576 	681 	652 b	659 	627 	653 	629 	624 	530 	449 	380 	353 
Y15-74,THS_PER,T,RS	: 	: 	: 	: 	: 	: 	606 	551 	489 	435 	412 	336 
Y15-74,THS_PER,T,SE	305 	410 	426 	392 	404 	412 	412 	388 	369 	362 	346 b	376 
Y15-74,THS_PER,T,SI	46 	61 	75 	83 	90 	102 	98 	90 	80 	67 	53 	46 
Y15-74,THS_PER,T,SK	256 	323 	389 	365 b	378 	386 	359 	314 	267 	224 	180 	158 
Y15-74,THS_PER,T,TR	2279 	3053 	2696 	2324 	2202 	2442 	2843 b	3035 	3308 	3421 	3512 	4445 
Y15-74,THS_PER,T,UK	1756 b	2369 	2459 	2559 	2533 	2437 	1996 	1746 	1599 	1447 	1347 	1269 
