s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,Y25-74,F,THS_PER,AT	70 	71 	70 	71 	71 	68 	70 	77 	80 	78 	74 	: 
SA,Y25-74,F,THS_PER,BE	94 	89 	86 	85 	90 	93 	96 	99 	98 	96 	96 	: 
SA,Y25-74,F,THS_PER,BG	52 	53 	53 	52 	56 	53 	53 	63 	60 	58 	59 	: 
SA,Y25-74,F,THS_PER,CH	82 	76 	73 	75 	82 	83 	84 	81 	81 	84 	: 	: 
SA,Y25-74,F,THS_PER,CY	13 	13 	13 	12 	12 	11 	11 	14 	14 	12 	10 	: 
SA,Y25-74,F,THS_PER,CZ	50 	50 	49 	48 	48 	48 	48 	52 	56 	57 	62 	: 
SA,Y25-74,F,THS_PER,DE	432 	442 	457 	480 	513 e	559 e	614 e	673 e	727 e	769 e	794 e	: 
SA,Y25-74,F,THS_PER,DK	56 	57 	56 	56 	54 	56 	51 	54 	61 	67 	65 	: 
SA,Y25-74,F,THS_PER,EA	4964 	4933 	4923 	4897 	4993 	4900 	4796 	4692 	4798 	4929 	5124 	: 
SA,Y25-74,F,THS_PER,EA18	4928 	4898 	4888 	4862 	4960 	4866 	4761 	4651 	4753 	4882 	5076 	: 
SA,Y25-74,F,THS_PER,EA19	4964 	4933 	4923 	4897 	4993 	4900 	4796 	4692 	4798 	4929 	5124 	: 
SA,Y25-74,F,THS_PER,EE	14 	13 	13 	12 	13 	12 	13 	18 	19 	18 	: 	: 
SA,Y25-74,F,THS_PER,EL	391 	382 	383 	379 	374 	364 	287 	349 	400 	380 	: 	: 
SA,Y25-74,F,THS_PER,ES	1491 	1482 	1470 	1459 	1481 	1451 	1491 	1504 	1478 	1471 	1466 	: 
SA,Y25-74,F,THS_PER,EU27_2007	5952 	5950 	5937 	5894 	6018 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,F,THS_PER,EU27_2020	5637 	5614 	5601 	5562 	5671 	5589 	5462 	5444 	5606 	5771 	5944 	: 
SA,Y25-74,F,THS_PER,EU28	5999 	5996 	5983 	5940 	6062 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,F,THS_PER,FI	57 	58 	58 	59 	60 	60 	62 	63 	65 	66 	67 	: 
SA,Y25-74,F,THS_PER,FR	952 	935 	927 	922 	931 	884 	832 	793 	663 	629 	717 	: 
SA,Y25-74,F,THS_PER,HR	47 	46 	46 	46 	44 	43 	48 	58 	64 	63 	63 	: 
SA,Y25-74,F,THS_PER,HU	62 	63 	60 	63 	63 	63 	61 	67 	82 	86 	: 	: 
SA,Y25-74,F,THS_PER,IE	35 	35 	37 	38 	39 	39 	39 	33 	32 	31 	33 	33 
SA,Y25-74,F,THS_PER,IS	2 	2 	2 	2 	3 	3 	2 	3 	3 	3 	3 	: 
SA,Y25-74,F,THS_PER,IT	1007 	1013 	1013 	1013 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,F,THS_PER,LT	36 	34 	35 	35 	33 	34 	35 	42 	45 	47 	48 	: 
SA,Y25-74,F,THS_PER,LU	6 	6 	6 	6 	6 	6 	7 	8 	8 	8 	8 	: 
SA,Y25-74,F,THS_PER,LV	24 	23 	23 	24 	26 	26 	27 	30 	31 	32 	32 	: 
SA,Y25-74,F,THS_PER,MT	3 	3 	3 	3 	3 	3 	3 	4 	4 	5 	4 	: 
SA,Y25-74,F,THS_PER,NL	100 	98 	95 	90 	85 	85 	84 	88 	93 	123 	131 	: 
SA,Y25-74,F,THS_PER,NO	29 	29 	30 	30 	28 	28 	29 	35 	38 	41 	: 	: 
SA,Y25-74,F,THS_PER,PL	207 	201 	196 	196 	188 	184 	180 	190 	201 	206 	205 	: 
SA,Y25-74,F,THS_PER,PT	149 	146 	151 	146 	145 	138 	132 	139 	110 	144 	163 	: 
SA,Y25-74,F,THS_PER,RO	88 	85 	84 	84 	96 	94 	97 	137 	131 	150 	131 	: 
SA,Y25-74,F,THS_PER,SE	110 	125 	135 	120 	129 	148 	127 	131 	153 	153 	150 	: 
SA,Y25-74,F,THS_PER,SI	20 	20 	20 	19 	20 	19 	19 	22 	22 	23 	22 	: 
SA,Y25-74,F,THS_PER,SK	61 	60 	60 	59 	66 	68 	67 	73 	73 	73 	74 	: 
SA,Y25-74,F,THS_PER,UK	362 	382 	381 	378 	391 	382 	363 	360 	351 	: 	: 	: 
SA,Y25-74,F,THS_PER,US	1941 	2038 	1992 	1981 	1926 	1891 	2356 	9122 	8293 	6701 	6294 	: 
SA,Y25-74,M,THS_PER,AT	88 	82 	78 	75 	78 	81 	83 	79 	114 	115 	113 	: 
SA,Y25-74,M,THS_PER,BE	116 	117 	118 	120 	116 	115 	118 	126 	128 	129 	127 	: 
SA,Y25-74,M,THS_PER,BG	70 	73 	75 	75 	75 	70 	67 	78 	76 	74 	74 	: 
SA,Y25-74,M,THS_PER,CH	80 	77 	76 	78 	82 	82 	86 	94 	100 	102 	: 	: 
SA,Y25-74,M,THS_PER,CY	10 	11 	11 	10 	12 	12 	13 	15 	15 	14 	14 	: 
SA,Y25-74,M,THS_PER,CZ	49 	44 	51 	44 	46 	42 	47 	49 	53 	64 	58 	: 
SA,Y25-74,M,THS_PER,DE	666 	685 	704 	724 	748 e	777 e	810 e	843 e	870 e	888 e	896 e	: 
SA,Y25-74,M,THS_PER,DK	57 	54 	53 	50 	52 	50 	50 	48 	52 	59 	63 	: 
SA,Y25-74,M,THS_PER,EA	5033 	4985 	4982 	5010 	4951 	4853 	4872 	5001 	5076 	5212 	5332 	: 
SA,Y25-74,M,THS_PER,EA18	4986 	4941 	4937 	4966 	4911 	4811 	4829 	4947 	5017 	5152 	5270 	: 
SA,Y25-74,M,THS_PER,EA19	5033 	4985 	4982 	5010 	4951 	4853 	4872 	5001 	5076 	5212 	5332 	: 
SA,Y25-74,M,THS_PER,EE	11 	12 	12 	14 	16 	16 	16 	18 	20 	25 	: 	: 
SA,Y25-74,M,THS_PER,EL	323 	320 	319 	314 	308 	297 	294 	297 	300 	376 	: 	: 
SA,Y25-74,M,THS_PER,ES	1252 	1260 	1256 	1253 	1236 	1194 	1318 	1406 	1398 	1410 	1407 	: 
SA,Y25-74,M,THS_PER,EU27_2007	6209 	6111 	6129 	6160 	6140 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,M,THS_PER,EU27_2020	5819 	5740 	5769 	5778 	5730 	5641 	5716 	5914 	6040 	6209 	6334 	: 
SA,Y25-74,M,THS_PER,EU28	6253 	6156 	6174 	6204 	6186 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,M,THS_PER,FI	73 	73 	71 	69 	68 	68 	69 	73 	76 	80 	82 	: 
SA,Y25-74,M,THS_PER,FR	980 	955 	939 	932 	910 	860 	846 	892 	776 	726 	770 	: 
SA,Y25-74,M,THS_PER,HR	44 	45 	45 	45 	46 	45 	48 	56 	60 	59 	58 	: 
SA,Y25-74,M,THS_PER,HU	62 	61 	60 	61 	63 	65 	71 	82 	91 	95 	: 	: 
SA,Y25-74,M,THS_PER,IE	47 	47 	46 	46 	46 	46 	47 	46 	47 	47 	47 	47 
SA,Y25-74,M,THS_PER,IS	2 	2 	2 	2 	2 	2 	2 	2 	3 	3 	4 	: 
SA,Y25-74,M,THS_PER,IT	1051 	1023 	1023 	1023 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,M,THS_PER,LT	47 	44 	45 	44 	40 	42 	44 	53 	58 	59 	61 	: 
SA,Y25-74,M,THS_PER,LU	7 	7 	7 	7 	7 	7 	9 	10 	10 	9 	9 	: 
SA,Y25-74,M,THS_PER,LV	28 	27 	28 	31 	34 	34 	35 	39 	42 	44 	45 	: 
SA,Y25-74,M,THS_PER,MT	3 	3 	4 	4 	4 	4 	4 	5 	4 	4 	4 	: 
SA,Y25-74,M,THS_PER,NL	116 	117 	119 	110 	102 	95 	95 	107 	106 	125 	129 	: 
SA,Y25-74,M,THS_PER,NO	43 	42 	43 	42 	39 	35 	35 	43 	49 	60 	: 	: 
SA,Y25-74,M,THS_PER,PL	198 	199 	199 	200 	209 	211 	213 	231 	243 	244 	237 	: 
SA,Y25-74,M,THS_PER,PT	121 	124 	126 	132 	134 	125 	119 	110 	113 	139 	162 	: 
SA,Y25-74,M,THS_PER,RO	173 	158 	164 	168 	144 	159 	218 	216 	232 	222 	233 	: 
SA,Y25-74,M,THS_PER,SE	133 	121 	140 	125 	142 	145 	130 	154 	159 	181 	185 	: 
SA,Y25-74,M,THS_PER,SI	22 	19 	16 	15 	17 	17 	18 	20 	19 	19 	18 	: 
SA,Y25-74,M,THS_PER,SK	68 	67 	67 	67 	71 	70 	66 	73 	76 	78 	80 	: 
SA,Y25-74,M,THS_PER,UK	434 	416 	405 	426 	456 	450 	440 	425 	419 	: 	: 	: 
SA,Y25-74,M,THS_PER,US	2132 	2118 	2134 	2064 	2227 	2278 	2651 	8886 	7814 	6990 	6442 	: 
SA,Y25-74,T,THS_PER,AT	157 	153 	148 	146 	149 	149 	153 	157 	194 	193 	186 	: 
SA,Y25-74,T,THS_PER,BE	210 	206 	204 	205 	206 	208 	215 	225 	225 	225 	223 	: 
SA,Y25-74,T,THS_PER,BG	122 	127 	128 	127 	131 	123 	120 	141 	136 	132 	132 	: 
SA,Y25-74,T,THS_PER,CH	162 	153 	149 	153 	163 	165 	170 	175 	182 	186 	: 	: 
SA,Y25-74,T,THS_PER,CY	24 	24 	24 	23 	24 	23 	24 	29 	29 	26 	24 	: 
SA,Y25-74,T,THS_PER,CZ	99 	95 	99 	93 	94 	91 	95 	100 	108 	121 	120 	: 
SA,Y25-74,T,THS_PER,DE	1098 	1127 	1161 	1204 	1261 e	1336 e	1425 e	1516 e	1597 e	1657 e	1690 e	: 
SA,Y25-74,T,THS_PER,DK	114 	111 	109 	106 	106 	106 	101 	101 	113 	126 	127 	: 
SA,Y25-74,T,THS_PER,EA	9997 	9918 	9905 	9907 	9945 	9753 	9669 	9693 	9874 	10140 	10455 	: 
SA,Y25-74,T,THS_PER,EA18	9914 	9839 	9825 	9828 	9871 	9677 	9590 	9598 	9771 	10034 	10346 	: 
SA,Y25-74,T,THS_PER,EA19	9997 	9918 	9905 	9907 	9945 	9753 	9669 	9693 	9874 	10140 	10455 	: 
SA,Y25-74,T,THS_PER,EE	25 	25 	25 	26 	29 	28 	29 	35 	39 	43 	: 	: 
SA,Y25-74,T,THS_PER,EL	714 	702 	703 	693 	682 	661 	580 	646 	700 	757 	: 	: 
SA,Y25-74,T,THS_PER,ES	2743 	2742 	2726 	2713 	2718 	2645 	2809 	2910 	2876 	2882 	2872 	: 
SA,Y25-74,T,THS_PER,EU27_2007	12161 	12061 	12065 	12054 	12158 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,T,THS_PER,EU27_2020	11456 	11353 	11370 	11340 	11401 	11230 	11178 	11358 	11647 	11980 	12278 	: 
SA,Y25-74,T,THS_PER,EU28	12252 	12152 	12156 	12145 	12248 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,T,THS_PER,FI	131 	130 	130 	128 	128 	128 	131 	136 	141 	146 	149 	: 
SA,Y25-74,T,THS_PER,FR	1932 	1890 	1866 	1854 	1841 	1744 	1677 	1685 	1439 	1355 	1487 	: 
SA,Y25-74,T,THS_PER,HR	91 	91 	91 	90 	90 	89 	96 	114 	124 	122 	121 	: 
SA,Y25-74,T,THS_PER,HU	124 	124 	119 	124 	126 	129 	132 	149 	173 	181 	: 	: 
SA,Y25-74,T,THS_PER,IE	83 	82 	83 	84 	85 	85 	86 	79 	78 	78 	79 	80 
SA,Y25-74,T,THS_PER,IS	4 	4 	4 	4 	5 	5 	5 	5 	6 	6 	7 	: 
SA,Y25-74,T,THS_PER,IT	2058 	2036 	2036 	2036 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,T,THS_PER,LT	83 	79 	80 	79 	74 	76 	79 	95 	103 	106 	109 	: 
SA,Y25-74,T,THS_PER,LU	13 	13 	13 	13 	13 	14 	15 	17 	18 	17 	17 	: 
SA,Y25-74,T,THS_PER,LV	52 	50 	50 	56 	60 	60 	62 	70 	73 	76 	77 	: 
SA,Y25-74,T,THS_PER,MT	7 	7 	7 	7 	7 	6 	8 	9 	9 	9 	9 	: 
SA,Y25-74,T,THS_PER,NL	216 	214 	214 	200 	187 	180 	179 	195 	198 	248 	261 	: 
SA,Y25-74,T,THS_PER,NO	72 	71 	73 	72 	67 	63 	64 	78 	87 	101 	: 	: 
SA,Y25-74,T,THS_PER,PL	405 	400 	395 	396 	397 	395 	394 	421 	444 	450 	442 	: 
SA,Y25-74,T,THS_PER,PT	269 	270 	277 	278 	279 	263 	251 	249 	223 	283 	325 	: 
SA,Y25-74,T,THS_PER,RO	261 	243 	248 	252 	240 	253 	315 	353 	363 	373 	363 	: 
SA,Y25-74,T,THS_PER,SE	243 	245 	275 	245 	272 	292 	257 	284 	311 	334 	336 	: 
SA,Y25-74,T,THS_PER,SI	42 	39 	36 	34 	36 	36 	37 	41 	41 	41 	40 	: 
SA,Y25-74,T,THS_PER,SK	129 	127 	127 	126 	137 	138 	133 	146 	150 	151 	154 	: 
SA,Y25-74,T,THS_PER,TR	3192 	3144 	3082 	3035 	2901 	2838 	2806 	2901 	3019 	: 	: 	: 
SA,Y25-74,T,THS_PER,UK	796 	798 	786 	804 	847 	833 	803 	785 	770 	: 	: 	: 
SA,Y25-74,T,THS_PER,US	4073 	4156 	4126 	4045 	4153 	4169 	5007 	18008 	16107 	13691 	12736 	: 
