s_adj,age,sex,unit,geo_time,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08
SA,Y_LT25,F,PC_ACT,AT,,,,,,,,,,,,
SA,Y_LT25,F,PC_ACT,BE,11.8,13.2,13.2,13.2,13.0,13.0,13.0,13.8,13.8,13.8,,
SA,Y_LT25,F,PC_ACT,BG,6.9,7.1,7.2,7.3,10.1,11.2,11.6,14.8,13.1,10.7,9.6,
SA,Y_LT25,F,PC_ACT,CH,8.4,8.2,8.1,7.9,7.2,6.8,7.3,8.2,8.7,8.4,,
SA,Y_LT25,F,PC_ACT,CY,13.8,14.2,14.2,14.2,11.1,11.1,11.1,18.4,18.4,18.4,,
SA,Y_LT25,F,PC_ACT,CZ,5.6,5.9,6.2,5.0,5.3,6.6,8.3,8.3,9.9,10.6,11.8,
SA,Y_LT25,F,PC_ACT,DE,4.7,4.8,5.0,5.2,,,,,,,,
SA,Y_LT25,F,PC_ACT,DK,9.4,9.9,9.9,9.9,,,,,,,,
SA,Y_LT25,F,PC_ACT,EA,15.1,15.1,15.1,15.1,15.5,15.4,15.5,16.6,16.9,17.4,17.4,
SA,Y_LT25,F,PC_ACT,EA18,15.2,15.1,15.1,15.1,15.5,15.4,15.5,16.6,16.9,17.4,17.4,
SA,Y_LT25,F,PC_ACT,EA19,15.1,15.1,15.1,15.1,15.5,15.4,15.5,16.6,16.9,17.4,17.4,
SA,Y_LT25,F,PC_ACT,EE,8.9,7.7,9.6,10.5,9.5,9.1,9.7,12.4,22.2,24.3,,
SA,Y_LT25,F,PC_ACT,EL,36.5,37.5,37.3,34.0,36.8,38.7,33.0,39.0,40.6,42.2,,
SA,Y_LT25,F,PC_ACT,ES,34.3,32.7,31.7,32.0,31.6,31.8,34.5,38.7,40.7,43.2,42.0,
SA,Y_LT25,F,PC_ACT,EU27_2007,13.7,13.4,13.5,13.3,13.6,,,,,,,
SA,Y_LT25,F,PC_ACT,EU27_2020,14.7,14.4,14.5,14.3,14.6,14.7,15.1,16.2,16.9,17.3,17.2,
SA,Y_LT25,F,PC_ACT,EU28,13.7,13.4,13.5,13.4,13.6,,,,,,,
SA,Y_LT25,F,PC_ACT,FI,17.2,17.1,17.1,17.1,17.1,17.2,17.3,17.5,17.8,17.8,17.8,
SA,Y_LT25,F,PC_ACT,FR,18.1,18.6,18.8,18.7,19.4,18.9,19.1,21.8,20.6,20.0,19.6,
SA,Y_LT25,F,PC_ACT,HR,19.1,18.8,18.8,18.8,19.3,19.3,19.3,26.5,26.5,26.5,,
SA,Y_LT25,F,PC_ACT,HU,11.5,12.4,11.5,10.0,10.0,10.5,13.7,15.2,20.4,17.6,,
SA,Y_LT25,F,PC_ACT,IE,10.3,10.0,9.9,10.0,9.9,10.2,11.7,13.6,16.0,18.7,20.5,20.9
SA,Y_LT25,F,PC_ACT,IS,7.9,8.0,7.0,5.9,6.1,6.2,6.2,8.5,8.6,8.5,8.7,
SA,Y_LT25,F,PC_ACT,IT,29.4,30.3,30.3,30.3,,,,,,,,
SA,Y_LT25,F,PC_ACT,LT,9.5,10.4,11.1,11.8,12.9,13.3,13.6,16.7,18.0,18.4,17.3,
SA,Y_LT25,F,PC_ACT,LU,15.7,16.8,17.1,17.9,18.7,18.6,20.5,25.2,26.5,27.0,25.2,
SA,Y_LT25,F,PC_ACT,LV,10.2,11.3,11.5,11.5,11.6,11.4,12.8,14.5,16.0,15.8,15.2,
SA,Y_LT25,F,PC_ACT,MT,7.0,7.0,8.3,8.1,9.1,8.0,7.0,5.0,6.3,5.4,5.1,
SA,Y_LT25,F,PC_ACT,NL,6.5,6.6,6.4,6.0,6.1,6.3,5.9,7.6,8.9,10.1,11.1,
SA,Y_LT25,F,PC_ACT,NO,9.6,9.3,9.4,9.1,9.1,9.1,9.1,10.0,12.0,13.0,,
SA,Y_LT25,F,PC_ACT,PL,8.9,8.3,7.8,7.4,8.3,8.6,9.3,10.9,11.6,11.9,11.5,
SA,Y_LT25,F,PC_ACT,PT,19.6,19.8,22.8,22.0,22.2,22.6,24.2,29.0,24.9,31.0,28.8,
SA,Y_LT25,F,PC_ACT,RO,18.8,16.4,16.4,16.4,16.7,16.7,16.7,,,,,
SA,Y_LT25,F,PC_ACT,SE,20.6,16.9,19.4,18.2,15.8,20.2,18.9,22.1,27.1,28.8,28.7,
SA,Y_LT25,F,PC_ACT,SI,8.6,8.7,8.7,8.7,11.9,11.9,11.9,12.5,12.5,12.5,,
SA,Y_LT25,F,PC_ACT,SK,21.3,20.7,20.2,19.8,19.4,18.5,17.5,20.1,19.3,19.2,20.7,
SA,Y_LT25,F,PC_ACT,UK,9.9,9.2,9.3,9.6,9.5,9.9,10.6,12.0,11.7,,,
SA,Y_LT25,F,PC_ACT,US,7.0,6.5,7.0,7.3,7.8,7.4,10.1,30.3,26.1,21.2,18.0,
SA,Y_LT25,M,PC_ACT,AT,,,,,,,,,,,,
SA,Y_LT25,M,PC_ACT,BE,14.2,16.7,16.7,16.7,11.0,11.0,11.0,12.3,12.3,12.3,,
SA,Y_LT25,M,PC_ACT,BG,9.2,9.8,10.3,10.6,14.8,14.0,12.4,13.8,11.8,9.7,9.3,
SA,Y_LT25,M,PC_ACT,CH,9.0,9.0,8.9,8.9,8.8,8.8,8.9,9.2,9.3,9.5,,
SA,Y_LT25,M,PC_ACT,CY,19.4,16.4,16.4,16.4,15.9,15.9,15.9,21.4,21.4,21.4,,
SA,Y_LT25,M,PC_ACT,CZ,4.6,4.5,5.1,4.8,6.0,5.2,5.2,5.8,6.9,7.3,7.1,
SA,Y_LT25,M,PC_ACT,DE,6.5,6.3,6.2,6.1,,,,,,,,
SA,Y_LT25,M,PC_ACT,DK,9.9,10.7,10.7,10.7,,,,,,,,
SA,Y_LT25,M,PC_ACT,EA,16.0,15.9,15.9,15.9,15.6,15.3,15.2,16.3,16.5,17.1,17.2,
SA,Y_LT25,M,PC_ACT,EA18,16.0,15.9,15.9,15.8,15.6,15.3,15.2,16.3,16.4,17.0,17.2,
SA,Y_LT25,M,PC_ACT,EA19,16.0,15.9,15.9,15.9,15.6,15.3,15.2,16.3,16.5,17.1,17.2,
SA,Y_LT25,M,PC_ACT,EE,9.7,8.4,8.7,8.2,7.8,10.1,10.0,14.0,14.1,22.2,,
SA,Y_LT25,M,PC_ACT,EL,33.3,33.3,31.9,31.1,30.7,31.4,30.7,31.5,35.9,36.7,,
SA,Y_LT25,M,PC_ACT,ES,30.4,30.0,29.5,29.0,30.9,31.2,33.4,36.3,37.5,40.3,41.4,
SA,Y_LT25,M,PC_ACT,EU27_2007,14.8,14.8,14.7,14.8,14.7,,,,,,,
SA,Y_LT25,M,PC_ACT,EU27_2020,15.2,15.2,15.2,15.2,15.1,15.1,14.6,15.9,15.9,16.6,16.8,
SA,Y_LT25,M,PC_ACT,EU28,14.8,14.8,14.7,14.7,14.7,,,,,,,
SA,Y_LT25,M,PC_ACT,FI,19.7,19.7,19.7,19.9,20.3,21.0,21.6,22.1,22.7,23.2,23.7,
SA,Y_LT25,M,PC_ACT,FR,20.4,21.0,21.3,21.4,19.5,18.2,18.6,22.1,21.2,20.5,19.8,
SA,Y_LT25,M,PC_ACT,HR,14.7,14.4,14.4,14.4,14.8,14.8,14.8,22.4,22.4,22.4,,
SA,Y_LT25,M,PC_ACT,HU,12.8,13.1,12.9,11.5,11.2,11.9,10.5,12.1,12.4,13.3,,
SA,Y_LT25,M,PC_ACT,IE,13.1,11.7,11.7,12.4,13.8,13.8,13.7,12.7,12.2,12.8,13.6,14.4
SA,Y_LT25,M,PC_ACT,IS,10.9,11.2,12.8,12.7,12.0,12.1,10.2,11.7,14.1,13.5,11.1,
SA,Y_LT25,M,PC_ACT,IT,26.8,26.2,26.2,26.2,,,,,,,,
SA,Y_LT25,M,PC_ACT,LT,16.5,17.2,17.5,17.7,17.2,17.4,17.7,21.6,23.9,24.8,27.5,
SA,Y_LT25,M,PC_ACT,LU,17.5,18.2,18.5,19.6,19.8,19.3,21.9,26.0,27.6,28.2,26.6,
SA,Y_LT25,M,PC_ACT,LV,9.5,9.5,10.3,12.0,14.6,15.0,16.1,18.3,19.2,19.6,19.5,
SA,Y_LT25,M,PC_ACT,MT,11.2,11.2,11.1,11.4,12.6,13.2,13.6,13.7,14.5,12.8,12.2,
SA,Y_LT25,M,PC_ACT,NL,7.8,8.0,8.3,7.4,6.8,6.3,6.7,9.2,10.0,11.3,10.8,
SA,Y_LT25,M,PC_ACT,NO,10.7,10.6,11.1,11.0,11.3,11.0,10.9,10.5,11.6,12.6,,
SA,Y_LT25,M,PC_ACT,PL,9.1,8.5,8.2,8.2,9.2,10.3,9.9,9.3,9.1,8.7,8.1,
SA,Y_LT25,M,PC_ACT,PT,18.1,15.8,14.9,15.7,17.2,15.6,12.9,13.1,18.3,24.3,23.9,
SA,Y_LT25,M,PC_ACT,RO,16.7,18.4,18.4,18.4,17.8,17.8,17.8,,,,,
SA,Y_LT25,M,PC_ACT,SE,19.2,22.3,20.7,21.3,24.9,20.0,20.2,27.8,24.8,28.8,29.1,
SA,Y_LT25,M,PC_ACT,SI,7.9,8.1,8.1,8.1,8.9,8.9,8.9,10.1,10.1,10.1,,
SA,Y_LT25,M,PC_ACT,SK,14.3,14.8,14.4,13.7,15.4,15.5,14.6,16.3,16.9,17.5,19.4,
SA,Y_LT25,M,PC_ACT,UK,12.8,12.8,12.3,12.7,13.1,12.9,12.9,12.8,13.6,,,
SA,Y_LT25,M,PC_ACT,US,9.1,9.2,9.0,8.9,8.7,7.9,10.6,24.6,24.2,20.2,19.1,
SA,Y_LT25,T,PC_ACT,AT,8.8,8.6,8.9,9.2,9.8,10.4,10.9,11.8,12.0,10.9,10.3,
SA,Y_LT25,T,PC_ACT,BE,13.0,15.1,15.1,15.1,11.9,11.9,11.9,13.0,13.0,13.0,,
SA,Y_LT25,T,PC_ACT,BG,8.2,8.7,9.0,9.3,12.9,12.9,12.0,14.2,12.3,10.1,9.4,
SA,Y_LT25,T,PC_ACT,CH,8.7,8.6,8.5,8.4,8.0,7.9,8.1,8.7,9.1,9.0,,
SA,Y_LT25,T,PC_ACT,CY,16.4,15.2,15.2,15.2,13.4,13.4,13.4,19.8,19.8,19.8,,
SA,Y_LT25,T,PC_ACT,CZ,5.0,5.1,5.5,4.9,5.7,5.7,6.4,6.8,8.0,8.6,8.9,
SA,Y_LT25,T,PC_ACT,DE,5.7,5.7,5.7,5.7,,,,,,,,
SA,Y_LT25,T,PC_ACT,DK,10.2,10.6,10.4,9.9,9.9,9.9,10.2,10.5,11.9,12.6,12.2,
SA,Y_LT25,T,PC_ACT,EA,15.6,15.5,15.6,15.5,15.5,15.3,15.4,16.4,16.7,17.2,17.3,
SA,Y_LT25,T,PC_ACT,EA18,15.7,15.5,15.6,15.5,15.5,15.3,15.4,16.4,16.7,17.2,17.3,
SA,Y_LT25,T,PC_ACT,EA19,15.6,15.5,15.6,15.5,15.5,15.3,15.4,16.4,16.7,17.2,17.3,
SA,Y_LT25,T,PC_ACT,EE,9.3,8.1,9.2,9.3,8.6,9.6,9.9,13.2,17.9,23.2,,
SA,Y_LT25,T,PC_ACT,EL,34.9,35.3,34.5,32.4,33.5,34.7,31.7,34.9,38.1,39.3,,
SA,Y_LT25,T,PC_ACT,ES,32.2,31.2,30.5,30.3,31.2,31.5,33.9,37.3,38.9,41.6,41.7,
SA,Y_LT25,T,PC_ACT,EU27_2007,14.3,14.1,14.1,14.1,14.2,,,,,,,
SA,Y_LT25,T,PC_ACT,EU27_2020,15.0,14.8,14.9,14.8,14.9,14.9,14.8,16.0,16.4,16.9,17.0,
SA,Y_LT25,T,PC_ACT,EU28,14.3,14.1,14.2,14.1,14.2,,,,,,,
SA,Y_LT25,T,PC_ACT,FI,18.4,18.4,18.4,18.5,18.7,19.1,19.4,19.8,20.2,20.5,20.6,
SA,Y_LT25,T,PC_ACT,FR,19.3,19.9,20.1,20.2,19.4,18.5,18.8,22.0,20.9,20.3,19.7,
SA,Y_LT25,T,PC_ACT,HR,16.4,16.2,16.2,16.2,16.6,16.6,16.6,24.0,24.0,24.0,,
SA,Y_LT25,T,PC_ACT,HU,12.3,12.8,12.3,10.9,10.7,11.3,11.9,13.5,15.9,15.2,,
SA,Y_LT25,T,PC_ACT,IE,11.8,10.9,10.8,11.2,11.9,12.1,12.7,13.1,14.1,15.7,17.0,17.5
SA,Y_LT25,T,PC_ACT,IS,9.4,9.6,9.9,9.2,9.0,9.1,8.2,10.1,11.3,11.0,9.9,
SA,Y_LT25,T,PC_ACT,IT,28.4,27.6,28.0,28.2,28.7,28.4,27.4,26.0,28.3,29.6,31.1,
SA,Y_LT25,T,PC_ACT,JP,4.6,4.7,3.9,3.2,3.6,4.2,3.8,4.9,5.1,4.0,5.1,
SA,Y_LT25,T,PC_ACT,LT,13.1,14.0,14.5,14.9,15.3,15.6,15.9,19.4,21.2,21.8,23.1,
SA,Y_LT25,T,PC_ACT,LU,16.7,17.6,17.9,18.8,19.3,19.0,21.3,25.6,27.1,27.7,26.0,
SA,Y_LT25,T,PC_ACT,LV,9.8,10.3,10.9,11.8,13.3,13.4,14.6,16.8,17.9,18.0,17.6,
SA,Y_LT25,T,PC_ACT,MT,9.3,9.2,9.7,9.8,11.0,10.8,10.7,9.8,10.8,9.5,9.1,
SA,Y_LT25,T,PC_ACT,NL,7.2,7.3,7.3,6.7,6.4,6.3,6.3,8.4,9.5,10.7,11.0,
SA,Y_LT25,T,PC_ACT,NO,10.2,10.0,10.3,10.1,10.3,10.1,10.0,10.3,11.8,12.8,,
SA,Y_LT25,T,PC_ACT,PL,9.0,8.4,8.0,7.8,8.8,9.5,9.6,10.0,10.1,10.0,9.5,
SA,Y_LT25,T,PC_ACT,PT,18.8,17.7,18.6,18.7,19.5,18.9,18.3,20.6,21.4,27.4,26.3,
SA,Y_LT25,T,PC_ACT,RO,17.5,17.7,17.7,17.7,17.4,17.4,17.4,,,,,
SA,Y_LT25,T,PC_ACT,SE,19.9,19.6,20.1,19.8,20.5,20.1,19.6,25.1,25.9,28.8,28.9,
SA,Y_LT25,T,PC_ACT,SI,8.2,8.3,8.3,8.3,10.3,10.3,10.3,11.2,11.2,11.2,,
SA,Y_LT25,T,PC_ACT,SK,16.9,17.0,16.5,15.9,16.9,16.6,15.7,17.8,17.8,18.1,19.8,
SA,Y_LT25,T,PC_ACT,TR,25.9,25.0,24.0,24.0,22.8,23.4,25.0,26.7,27.0,,,
SA,Y_LT25,T,PC_ACT,UK,11.4,11.0,10.9,11.2,11.4,11.5,11.8,12.4,12.7,,,
SA,Y_LT25,T,PC_ACT,US,8.0,7.9,8.0,8.1,8.2,7.7,10.3,27.4,25.2,20.7,18.6,
